system,machine,arch,python_impl,python_version,pydantic_version,strict_models,defer_build,import_time_s,validate_time_s,validate_again_time_s
Darwin,arm64,64bit,CPython,3.12.3,2.7.2,true,true,0.13349404197651893,0.8845547499367967,0.00021908397320657969
Darwin,arm64,64bit,CPython,3.12.3,2.7.2,true,true,0.13432512502186,0.8926351250847802,0.00021733297035098076
Darwin,arm64,64bit,CPython,3.12.3,2.7.2,true,true,0.1326014589285478,0.9422342089237645,0.00023662496823817492
Darwin,arm64,64bit,CPython,3.12.3,2.7.2,true,true,0.13768629194237292,0.8868275419808924,0.0002930409973487258
Darwin,arm64,64bit,CPython,3.12.3,2.7.2,true,true,0.1396086250897497,0.9094856249867007,0.000220458023250103
Darwin,arm64,64bit,CPython,3.12.3,2.7.2,true,true,0.13748270797077566,0.8904259579721838,0.0002144589088857174
Darwin,arm64,64bit,CPython,3.12.3,2.7.2,true,true,0.13566875003743917,0.8944937080377713,0.00021199998445808887
Darwin,arm64,64bit,CPython,3.12.3,2.7.2,true,true,0.13290883309673518,0.8801845409907401,0.00024212501011788845
Darwin,arm64,64bit,CPython,3.12.3,2.7.2,true,true,0.1479160829912871,0.8707316250074655,0.00026787503156811
Darwin,arm64,64bit,CPython,3.12.3,2.8.2,false,false,0.14766583300661296,0.9228880000300705,0.00024337496142834425
Darwin,arm64,64bit,CPython,3.12.3,2.8.2,false,false,0.14683679200243205,0.9092449999880046,0.0002684170613065362
Darwin,arm64,64bit,CPython,3.12.3,2.8.2,false,false,0.15688741696067154,0.9523007500683889,0.0002263330388814211
Darwin,arm64,64bit,CPython,3.12.3,2.8.2,false,false,0.14525179204065353,0.9158869169186801,0.00022683292627334595
Darwin,arm64,64bit,CPython,3.12.3,2.8.2,false,false,0.15013566601555794,0.900386790977791,0.00022054207511246204
Darwin,arm64,64bit,CPython,3.12.3,2.8.2,false,false,0.14734245894942433,0.9295260830549523,0.0003624169621616602
Darwin,arm64,64bit,CPython,3.12.3,2.8.2,false,false,0.15070324996486306,0.9041967920493335,0.0002778340131044388
Darwin,arm64,64bit,CPython,3.12.3,2.8.2,false,false,0.14593037497252226,0.9023286659503356,0.0002690419787541032
Darwin,arm64,64bit,CPython,3.12.3,2.8.2,false,false,0.14978866698220372,0.9088393750134856,0.00045708403922617435
Darwin,arm64,64bit,CPython,3.12.3,2.8.2,false,false,0.14910683396738023,0.900927499984391,0.0003527500666677952
Darwin,arm64,64bit,CPython,3.12.3,2.8.2,true,false,0.24775020801462233,0.8823519999859855,0.00028687494341284037
Darwin,arm64,64bit,CPython,3.12.3,2.8.2,true,false,0.24870408396236598,0.888002417050302,0.00031162495724856853
Darwin,arm64,64bit,CPython,3.12.3,2.8.2,true,false,0.248743416974321,0.9013350839959458,0.0002514999359846115
Darwin,arm64,64bit,CPython,3.12.3,2.8.2,true,false,0.25124187499750406,0.8875967500498518,0.0002691249828785658
Darwin,arm64,64bit,CPython,3.12.3,2.8.2,true,false,0.2540697919903323,0.8970369999296963,0.0002660000463947654
Darwin,arm64,64bit,CPython,3.12.3,2.8.2,true,false,0.27326612500473857,0.9233829580480233,0.00025783292949199677
Darwin,arm64,64bit,CPython,3.12.3,2.8.2,true,false,0.27323091705329716,0.9224756670882925,0.00022574991453438997
Darwin,arm64,64bit,CPython,3.12.3,2.8.2,true,false,0.25802833400666714,0.913481792085804,0.0002952089998871088
Darwin,arm64,64bit,CPython,3.12.3,2.8.2,true,false,0.25423700001556426,0.9021110830362886,0.00031295802909880877
Darwin,arm64,64bit,CPython,3.12.3,2.8.2,true,false,0.26086583302821964,0.8693168750032783,0.00023862498346716166
Darwin,arm64,64bit,CPython,3.12.3,2.8.2,false,true,0.09183341707102954,0.9105077910935506,0.0002935000229626894
