system,machine,arch,python_impl,python_version,pydantic_version,strict_models,defer_build,import_time_s,validate_time_s,validate_again_time_s
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,false,true,0.1473476248793304,0.007305125007405877,0.0005568750202655792
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,false,true,0.14466183399781585,0.007114459061995149,0.0005488330498337746
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,false,true,0.1445692079141736,0.007133082952350378,0.0005522090941667557
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,false,true,0.14946858305484056,0.007255167001858354,0.0005478749517351389
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,false,true,0.14516645902767777,0.007206999929621816,0.0005529578775167465
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,false,true,0.1442837081849575,0.007330500055104494,0.0005400828085839748
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,false,true,0.14527929108589888,0.007405959069728851,0.0005923749413341284
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,false,true,0.15163700003176928,0.007504374952986836,0.000544416019693017
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,true,true,0.28010491700842977,0.0022182920947670937,0.0005596668925136328
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,true,true,0.3018297499511391,0.0022929159458726645,0.0005771669093519449
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,true,true,0.2920314578805119,0.0022992920130491257,0.0005647079087793827
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,true,true,0.2821394170168787,0.002400333061814308,0.0005440840031951666
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,true,true,0.28143512504175305,0.0023956249933689833,0.0006011670920997858
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,true,true,0.2788897498976439,0.0022492501884698868,0.0005799168720841408
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,true,true,0.2804211669135839,0.002348833018913865,0.0005977079272270203
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,true,true,0.2801510840654373,0.0023181659635156393,0.0005878331139683723
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,true,true,0.2759906251449138,0.0022462080232799053,0.0005764998495578766
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,true,true,0.27222495805472136,0.0022033751010894775,0.0005562079604715109
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,true,true,0.2760156251024455,0.0022345830220729113,0.0005741249769926071
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,true,true,0.27235579094849527,0.0021655410528182983,0.0005679999012500048
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,true,true,0.2751183749642223,0.0022964589297771454,0.0005855830386281013
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,true,true,0.27643491607159376,0.002284958027303219,0.0005253329873085022
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,true,true,0.27294079097919166,0.0022582090459764004,0.0005848330911248922
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,true,true,0.27415974996984005,0.0022163749672472477,0.0005745000671595335
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,true,true,0.2726066668983549,0.00221950002014637,0.0005729158874601126
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,true,true,0.27489879191853106,0.0021820419933646917,0.0005612920504063368
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,true,true,0.2761938329786062,0.0022166669368743896,0.0005463340785354376
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,true,true,0.2707200001459569,0.0022214169148355722,0.000573999946936965
Darwin,arm64,64bit,CPython,3.12.3,2.7.2,false,false,0.15745208295993507,0.8918367922306061,0.00027370918542146683
Darwin,arm64,64bit,CPython,3.12.3,2.7.2,false,false,0.15660691587254405,0.8841659168247133,0.00028245802968740463
Darwin,arm64,64bit,CPython,3.12.3,2.7.2,false,false,0.15721895801834762,0.8910580000374466,0.0002736670430749655
